Home Team,Away Team,Score 1,Score 2,Score 3,Score 4,Score 5
Arsenal,Coventry,,,,,
Hull,Man Utd,,,,,
Everton,Palace,2-2,2-1,2-1,2-1,1-1
Ipswich,Sunderland,,,,,
Forest,Leeds,1-3,3-1,,,
Brentford,Spurs,0-0,0-2,0-2,1-3,
Brighton,Villa,0-1,3-4,3-0,2-2,
Man City,Bournemouth,1-1,3-1,3-1,2-1,1-2
Newcastle,Liverpool,1-4,2-3,2-1,0-2,3-3
Fulham,Chelsea,2-1,0-2,1-2,2-1,0-1
Palace,Man City,0-3,0-3,1-0,2-5,2-2
Liverpool,Forest,1-0,0-3,1-1,0-1,1-0
Bournemouth,Everton,2-1,0-1,2-0,1-0,3-2
Coventry,Hull,0-0,0-0,1-1,1-2,
Spurs,Newcastle,1-2,2-2,0-2,2-1,1-2
Chelsea,Brighton,0-3,1-3,0-3,1-2,4-2
Leeds,Brentford,0-0,1-1,,,
Sunderland,Fulham,1-3,0-1,,,
Man Utd,Ipswich,3-2,1-1,,,
Villa,Arsenal,1-4,2-1,2-2,0-2,2-0
Ipswich,Liverpool,1-4,2-0,,,
Newcastle,Bournemouth,1-2,2-2,0-0,4-1,1-1
Brentford,Sunderland,3-0,1-2,,,
Brighton,Leeds,0-1,3-0,,,
Fulham,Palace,1-1,1-2,0-3,0-2,1-1
Man City,Coventry,,,,,
Forest,Spurs,3-0,3-0,2-1,1-0,
Hull,Villa,,,,,
Everton,Man Utd,0-1,1-0,2-2,0-4,0-2
Arsenal,Chelsea,2-1,1-0,3-2,1-1,1-0
